LI-8100,LI-8100,LI-8100,,CHAMBER,LI-8100,LI-8100,LI-8100,LI-8100,LI-8150,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810,LI-7810
2024-06-02 20:49:01,154.867370,100.050000,6978.600000,-69.268440,-244581377.829790,0.050900,-201011551.144750,0.156130,49,7.692010,-1.719960,9.288290,0.988210,0.994580,-1.719960,0.991730,0.991730,641.400000,2102.185140
2024-06-02 21:31:20,154.896760,100.030000,6978.600000,21.834000,2801400.046040,0.136100,2603411.362390,0.135090,13,5.383080,-0.513210,9.990180,0.994160,0.986900,-1.499450,0.952550,0.942460,692.600000,2243.726650
2024-06-02 21:34:20,154.898840,100.070000,6978.600000,-69.616440,-36769.791420,0.014300,-36769.791420,0.014300,14,8.170950,1.167710,11.864920,0.992320,0.987940,1.167710,0.937310,0.937310,720.010000,2246.960420
2024-06-02 21:37:18,154.900900,100.060000,6978.600000,21.669440,92447.183880,0.000330,92447.183880,0.000330,15,5.036290,-0.250130,5.036290,0.984490,0.984490,-0.250130,0.283680,0.283680,714.350000,2283.106880
2024-06-02 21:40:16,154.902960,100.070000,6978.600000,21.595890,-5407936.312780,0.014770,-5503270.420070,0.014870,16,3.825710,-0.426650,8.863680,0.982690,0.964170,-0.426650,0.652000,0.652000,712.560000,2276.891830
2024-06-02 21:43:02,154.904880,100.070000,6978.600000,136.526480,255736.700310,0.002250,420416.220480,0.002120,10,0.014720,-0.402390,0.014720,0.000200,0.000200,-5.215230,0.871550,0.695400,676.830000,2248.719620
2024-06-02 21:46:01,154.906960,100.060000,6978.600000,21.700440,-133853.614790,0.000940,-133853.614790,0.000940,9,15.750510,-1.696480,15.750510,0.997660,0.997660,-1.696480,0.997320,0.997320,745.450000,2226.997070
2024-06-02 21:49:00,154.909030,100.060000,6978.600000,-69.535330,277572.536780,0.057170,277572.536780,0.057170,49,8.712340,-1.046160,9.032700,0.996110,0.996080,-2.864410,0.977920,0.955030,715.240000,2221.303990
2024-06-02 22:31:20,154.938430,100.020000,6978.600000,21.340220,162423919.095960,0.108210,66377952.189540,0.033970,13,3.652730,-1.191500,8.932800,0.982200,0.953580,-1.191500,0.987930,0.987930,722.130000,2296.138540
2024-06-02 22:34:19,154.940500,100.040000,6978.600000,-69.978220,1542574.229150,0.003270,1542574.229150,0.003270,14,5.498070,-0.526260,13.324480,0.985150,0.953120,-0.528980,0.805120,0.806290,760.310000,2287.336880
2024-06-02 22:37:18,154.942570,100.030000,6978.600000,21.168890,-14738539.565650,0.036810,-14738539.565650,0.036810,15,5.216080,-0.282360,8.903660,0.992090,0.979420,-2.276740,0.881990,0.763920,724.330000,2307.666570
2024-06-02 22:40:16,154.944630,100.030000,6978.600000,21.089220,-606705.135490,0.003990,-606705.135490,0.003990,16,4.028220,-0.243120,6.974640,0.997070,0.990790,-0.243120,0.947320,0.947320,730.850000,2290.644210
2024-06-02 22:43:03,154.946560,100.030000,6978.600000,135.649780,-401898.725910,0.013680,-401898.725910,0.013680,10,0.321730,-1.837170,42.972880,0.573020,0.046350,-1.834980,0.945450,0.946230,719.500000,2286.011290
2024-06-02 22:46:03,154.948650,100.030000,6978.600000,21.187330,979901.610320,0.052460,979901.610320,0.052460,9,16.335930,0.739990,16.378380,0.999120,0.999120,0.771450,0.883120,0.888550,782.270000,2265.301140
2024-06-02 22:49:04,154.950740,100.030000,6978.600000,-69.581220,1955711.510580,0.016910,1955711.510580,0.016910,49,7.447460,0.409580,8.096350,0.994610,0.994460,0.409580,0.346430,0.346430,772.510000,2353.446930
